x;y;z;u;v;column;row
420.8890;1955.3228;929.1709;0.6552;0.6316;19;12
511.0410;1933.8274;936.2411;0.6897;0.6316;20;12
599.2329;1908.4084;944.6018;0.7241;0.6316;21;12
685.1696;1879.2709;954.1858;0.7586;0.6316;22;12
768.5865;1846.6538;964.9145;0.7931;0.6316;23;12
849.2544;1810.8305;976.6981;0.8276;0.6316;24;12
926.9841;1772.1082;989.4355;0.8621;0.6316;25;12
1001.6311;1730.8288;1003.0147;0.8966;0.6316;26;12
1073.1005;1687.3678;1017.3120;0.9310;0.6316;27;12
1141.3514;1642.1353;1032.1930;0.9655;0.6316;28;12
1206.4018;1595.5753;1047.5116;1.0000;0.6316;29;12
-1206.4023;1595.5695;968.1397;0.0000;0.6842;0;13
-1141.3507;1642.1331;951.5441;0.0345;0.6842;1;13
-1073.0990;1687.3675;935.4228;0.0690;0.6842;2;13
-1001.6292;1730.8290;919.9339;0.1034;0.6842;3;13
-926.9820;1772.1080;905.2232;0.1379;0.6842;4;13
-849.2523;1810.8292;891.4243;0.1724;0.6842;5;13
-768.5846;1846.6511;878.6590;0.2069;0.6842;6;13
-685.1680;1879.2666;867.0365;0.2414;0.6842;7;13
-599.2317;1908.4027;856.6541;0.2759;0.6842;8;13
-511.0401;1933.8203;847.5969;0.3103;0.6842;9;13
-420.8885;1955.3148;839.9378;0.3448;0.6842;10;13
-329.0979;1972.7152;833.7376;0.3793;0.6842;11;13
-236.0105;1985.8852;829.0449;0.4138;0.6842;12;13
-141.9850;1994.7223;825.8962;0.4483;0.6842;13;13
-47.3919;1999.1581;824.3158;0.4828;0.6842;14;13
47.3911;1999.1585;824.3158;0.5172;0.6842;15;13
141.9843;1994.7234;825.8962;0.5517;0.6842;16;13
236.0100;1985.8870;829.0449;0.5862;0.6842;17;13
329.0976;1972.7176;833.7376;0.6207;0.6842;18;13
420.8885;1955.3174;839.9378;0.6552;0.6842;19;13
511.0405;1933.8231;847.5968;0.6897;0.6842;20;13
599.2323;1908.4053;856.6540;0.7241;0.6842;21;13
685.1690;1879.2688;867.0363;0.7586;0.6842;22;13
768.5859;1846.6527;878.6587;0.7931;0.6842;23;13
849.2537;1810.8301;891.4240;0.8276;0.6842;24;13
926.9835;1772.1082;905.2227;0.8621;0.6842;25;13
1001.6305;1730.8286;919.9334;0.8966;0.6842;26;13
1073.1000;1687.3668;935.4223;0.9310;0.6842;27;13
1141.3510;1642.1325;951.5436;0.9655;0.6842;28;13
1206.4016;1595.5698;968.1392;1.0000;0.6842;29;13
-1206.4027;1595.5651;888.7669;0.0000;0.7368;0;14
-1141.3508;1642.1311;870.8944;0.0345;0.7368;1;14
-1073.0989;1687.3669;853.5329;0.0690;0.7368;2;14
-1001.6289;1730.8289;836.8526;0.1034;0.7368;3;14
-926.9816;1772.1077;821.0105;0.1379;0.7368;4;14
-849.2519;1810.8282;806.1505;0.1724;0.7368;5;14
-768.5841;1846.6492;792.4035;0.2069;0.7368;6;14
-685.1675;1879.2635;779.8874;0.2414;0.7368;7;14
-599.2312;1908.3983;768.7067;0.2759;0.7368;8;14
-511.0397;1933.8147;758.9532;0.3103;0.7368;9;14
-420.8882;1955.3079;750.7053;0.3448;0.7368;10;14
-329.0976;1972.7073;744.0284;0.3793;0.7368;11;14
-236.0103;1985.8764;738.9750;0.4138;0.7368;12;14
-141.9849;1994.7129;735.5842;0.4483;0.7368;13;14
-47.3919;1999.1484;733.8823;0.4828;0.7368;14;14
47.3911;1999.1488;733.8823;0.5172;0.7368;15;14
141.9841;1994.7141;735.5843;0.5517;0.7368;16;14
236.0097;1985.8783;738.9750;0.5862;0.7368;17;14
329.0973;1972.7096;744.0284;0.6207;0.7368;18;14
